timestamp,region,value
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,0
2020:2:13:12:39:52,3,10
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:52,0,3
2020:2:13:12:39:52,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
